"filename", "language", "Java", "Markdown", "XML", "Shell Script", "comment", "blank", "total"
"/home/robert/Java-Catan/Doku.md", "Markdown", 0, 202, 0, 0, 0, 48, 250
"/home/robert/Java-Catan/EdgeCalc.class", "Java", 7, 0, 0, 0, 0, 0, 7
"/home/robert/Java-Catan/EdgeCalc.java", "Java", 1, 0, 0, 0, 0, 1, 2
"/home/robert/Java-Catan/Markdowns/AUTHENTIC_CATAN_BOARD_OVERHAUL.md", "Markdown", 0, 111, 0, 0, 0, 31, 142
"/home/robert/Java-Catan/Markdowns/AUTHENTIC_CATAN_LAYOUT_COMPLETE.md", "Markdown", 0, 90, 0, 0, 0, 25, 115
"/home/robert/Java-Catan/Markdowns/BOARD_POSITIONING_FIX.md", "Markdown", 0, 13, 0, 0, 0, 4, 17
"/home/robert/Java-Catan/Markdowns/CATAN_LAYOUT_KORRIGIERT.md", "Markdown", 0, 49, 0, 0, 0, 19, 68
"/home/robert/Java-Catan/Markdowns/CATAN_LAYOUT_VOLLSTÄNDIG_KORRIGIERT.md", "Markdown", 0, 76, 0, 0, 0, 21, 97
"/home/robert/Java-Catan/Markdowns/CLOSER_SPACING_ADJUSTMENT.md", "Markdown", 0, 84, 0, 0, 0, 25, 109
"/home/robert/Java-Catan/Markdowns/COMPACT_LAYOUT_IMPROVEMENTS.md", "Markdown", 0, 93, 0, 0, 0, 27, 120
"/home/robert/Java-Catan/Markdowns/COMPACT_LAYOUT_WITH_FIXED_STREETS.md", "Markdown", 0, 100, 0, 0, 0, 26, 126
"/home/robert/Java-Catan/Markdowns/COMPLETE_IMPLEMENTATION_OVERVIEW.md", "Markdown", 0, 95, 0, 0, 0, 26, 121
"/home/robert/Java-Catan/Markdowns/COORDINATE_FIXES_SUMMARY.md", "Markdown", 0, 72, 0, 0, 0, 20, 92
"/home/robert/Java-Catan/Markdowns/DUPLICATE_SETTLEMENT_ELIMINATION_ULTRA_PRECISION.md", "Markdown", 0, 121, 0, 0, 0, 33, 154
"/home/robert/Java-Catan/Markdowns/ENHANCED_BOARD_COMPLETE.md", "Markdown", 0, 91, 0, 0, 0, 27, 118
"/home/robert/Java-Catan/Markdowns/FINAL_OPTIMIZATION_SUMMARY.md", "Markdown", 0, 88, 0, 0, 0, 26, 114
"/home/robert/Java-Catan/Markdowns/FINAL_UI_SOLUTION_COMPLETE.md", "Markdown", 0, 91, 0, 0, 0, 26, 117
"/home/robert/Java-Catan/Markdowns/HEXAGONAL_IMPLEMENTATION_SUMMARY.md", "Markdown", 0, 104, 0, 0, 0, 33, 137
"/home/robert/Java-Catan/Markdowns/HEX_SPACING_KOMPAKT_GEMACHT.md", "Markdown", 0, 75, 0, 0, 0, 23, 98
"/home/robert/Java-Catan/Markdowns/ROAD_POSITIONING_OPTIMIZATION.md", "Markdown", 0, 75, 0, 0, 0, 25, 100
"/home/robert/Java-Catan/Markdowns/SPACING_AND_DUPLICATE_FIXES.md", "Markdown", 0, 61, 0, 0, 0, 19, 80
"/home/robert/Java-Catan/Markdowns/SPACING_IMPROVEMENTS.md", "Markdown", 0, 85, 0, 0, 0, 25, 110
"/home/robert/Java-Catan/Markdowns/TILE_GRID_ALIGNMENT_IMPROVEMENTS.md", "Markdown", 0, 78, 0, 0, 0, 26, 104
"/home/robert/Java-Catan/Markdowns/TILE_SIZE_AND_ROAD_POSITIONING_IMPROVEMENTS.md", "Markdown", 0, 83, 0, 0, 0, 22, 105
"/home/robert/Java-Catan/Markdowns/UI_IMPROVEMENTS_COMPLETE.md", "Markdown", 0, 141, 0, 0, 0, 38, 179
"/home/robert/Java-Catan/Markdowns/UI_POSITIONING_FIXES_COMPLETE.md", "Markdown", 0, 106, 0, 0, 0, 28, 134
"/home/robert/Java-Catan/Markdowns/ULTRA_COMPACT_LAYOUT_MAXIMUM_CLOSENESS.md", "Markdown", 0, 104, 0, 0, 0, 26, 130
"/home/robert/Java-Catan/Markdowns/VERY_CLOSE_SPACING_FINAL.md", "Markdown", 0, 62, 0, 0, 0, 16, 78
"/home/robert/Java-Catan/README.md", "Markdown", 0, 278, 0, 0, 0, 69, 347
"/home/robert/Java-Catan/pom.xml", "XML", 0, 0, 71, 0, 5, 9, 85
"/home/robert/Java-Catan/src/main/java/com/catan/CatanApplication.java", "Java", 25, 0, 0, 0, 4, 8, 37
"/home/robert/Java-Catan/src/main/java/com/catan/controller/MainController.java", "Java", 896, 0, 0, 0, 177, 225, 1298
"/home/robert/Java-Catan/src/main/java/com/catan/demo/AuthenticCatanLayoutDemo.java", "Java", 64, 0, 0, 0, 6, 16, 86
"/home/robert/Java-Catan/src/main/java/com/catan/demo/CorrectEdgeGenerator.java", "Java", 143, 0, 0, 0, 39, 34, 216
"/home/robert/Java-Catan/src/main/java/com/catan/demo/DeduplicationTest.java", "Java", 70, 0, 0, 0, 5, 25, 100
"/home/robert/Java-Catan/src/main/java/com/catan/demo/EdgeCountAnalysis.class", "Java", 58, 0, 0, 0, 0, 0, 58
"/home/robert/Java-Catan/src/main/java/com/catan/demo/EdgeCountAnalysis.java", "Java", 102, 0, 0, 0, 19, 29, 150
"/home/robert/Java-Catan/src/main/java/com/catan/demo/EdgeMathTest.class", "Java", 44, 0, 0, 0, 0, 0, 44
"/home/robert/Java-Catan/src/main/java/com/catan/demo/EdgeMathTest.java", "Java", 88, 0, 0, 0, 33, 35, 156
"/home/robert/Java-Catan/src/main/java/com/catan/demo/EnhancedBoardDemo.java", "Java", 79, 0, 0, 0, 14, 24, 117
"/home/robert/Java-Catan/src/main/java/com/catan/demo/HexPositionDebug.java", "Java", 71, 0, 0, 0, 7, 22, 100
"/home/robert/Java-Catan/src/main/java/com/catan/demo/LayoutComparison.java", "Java", 0, 0, 0, 0, 0, 1, 1
"/home/robert/Java-Catan/src/main/java/com/catan/demo/RealDuplicateAnalysis.java", "Java", 44, 0, 0, 0, 3, 16, 63
"/home/robert/Java-Catan/src/main/java/com/catan/demo/RoadVisibilityTest.class", "Java", 25, 0, 0, 0, 0, 0, 25
"/home/robert/Java-Catan/src/main/java/com/catan/demo/RoadVisibilityTest.java", "Java", 41, 0, 0, 0, 6, 13, 60
"/home/robert/Java-Catan/src/main/java/com/catan/demo/SimpleEdgeTest.class", "Java", 41, 0, 0, 0, 0, 0, 41
"/home/robert/Java-Catan/src/main/java/com/catan/demo/SimpleEdgeTest.java", "Java", 67, 0, 0, 0, 10, 21, 98
"/home/robert/Java-Catan/src/main/java/com/catan/demo/SimpleLayoutDemo.java", "Java", 47, 0, 0, 0, 7, 15, 69
"/home/robert/Java-Catan/src/main/java/com/catan/demo/SymmetryTest.java", "Java", 54, 0, 0, 0, 4, 15, 73
"/home/robert/Java-Catan/src/main/java/com/catan/demo/VertexCoordinateTest.class", "Java", 34, 0, 0, 0, 0, 0, 34
"/home/robert/Java-Catan/src/main/java/com/catan/demo/VertexCoordinateTest.java", "Java", 85, 0, 0, 0, 14, 22, 121
"/home/robert/Java-Catan/src/main/java/com/catan/demo/VertexDebugger.java", "Java", 50, 0, 0, 0, 3, 16, 69
"/home/robert/Java-Catan/src/main/java/com/catan/demo/VisualLayoutTest.java", "Java", 0, 0, 0, 0, 0, 1, 1
"/home/robert/Java-Catan/src/main/java/com/catan/model/Building$Type.class", "Java", 23, 0, 0, 0, 0, 0, 23
"/home/robert/Java-Catan/src/main/java/com/catan/model/Building.class", "Java", 17, 0, 0, 0, 0, 0, 17
"/home/robert/Java-Catan/src/main/java/com/catan/model/Building.java", "Java", 66, 0, 0, 0, 4, 18, 88
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGame$GamePhase.class", "Java", 16, 0, 0, 0, 0, 0, 16
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGame.class", "Java", 95, 0, 0, 0, 0, 0, 95
