"filename", "language", "XML", "Java", "Markdown", "Shell Script", "comment", "blank", "total"
"/home/robert/Java-Catan/CLEANUP_COMPLETE.md", "Markdown", 0, 0, 68, 0, 0, 14, 82
"/home/robert/Java-Catan/COMPLETE_OVERHAUL_SUMMARY.md", "Markdown", 0, 0, 98, 0, 0, 22, 120
"/home/robert/Java-Catan/Doku.md", "Markdown", 0, 0, 202, 0, 0, 48, 250
"/home/robert/Java-Catan/README.md", "Markdown", 0, 0, 278, 0, 0, 69, 347
"/home/robert/Java-Catan/pom.xml", "XML", 71, 0, 0, 0, 5, 9, 85
"/home/robert/Java-Catan/src/main/java/com/catan/CatanApplication.java", "Java", 0, 25, 0, 0, 4, 8, 37
"/home/robert/Java-Catan/src/main/java/com/catan/controller/AuthenticBoardController.java", "Java", 0, 218, 0, 0, 54, 47, 319
"/home/robert/Java-Catan/src/main/java/com/catan/controller/MainController.java", "Java", 0, 0, 0, 0, 0, 1, 1
"/home/robert/Java-Catan/src/main/java/com/catan/demo/AuthenticBoardDemo.java", "Java", 0, 58, 0, 0, 8, 18, 84
"/home/robert/Java-Catan/src/main/java/com/catan/demo/DeduplicationTest.java", "Java", 0, 69, 0, 0, 5, 25, 99
"/home/robert/Java-Catan/src/main/java/com/catan/model/AuthenticCatanBoard.class", "Java", 0, 108, 0, 0, 0, 0, 108
"/home/robert/Java-Catan/src/main/java/com/catan/model/AuthenticCatanBoard.java", "Java", 0, 250, 0, 0, 83, 71, 404
"/home/robert/Java-Catan/src/main/java/com/catan/model/Building$Type.class", "Java", 0, 23, 0, 0, 0, 0, 23
"/home/robert/Java-Catan/src/main/java/com/catan/model/Building.class", "Java", 0, 17, 0, 0, 0, 0, 17
"/home/robert/Java-Catan/src/main/java/com/catan/model/Building.java", "Java", 0, 66, 0, 0, 4, 18, 88
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGame$GamePhase.class", "Java", 0, 16, 0, 0, 0, 0, 16
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGame.class", "Java", 0, 103, 0, 0, 0, 0, 103
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGame.java", "Java", 0, 293, 0, 0, 22, 60, 375
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGeometryCalculator.class", "Java", 0, 76, 0, 0, 0, 0, 76
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGeometryCalculator.java", "Java", 0, 66, 0, 0, 28, 30, 124
