"filename", "language", "Markdown", "Java", "XML", "comment", "blank", "total"
"/home/robert/Java-Catan/CLEANUP_COMPLETE.md", "Markdown", 68, 0, 0, 0, 14, 82
"/home/robert/Java-Catan/COMPLETE_OVERHAUL_SUMMARY.md", "Markdown", 98, 0, 0, 0, 22, 120
"/home/robert/Java-Catan/EdgeCalc.class", "Java", 0, -7, 0, 0, 0, -7
"/home/robert/Java-Catan/EdgeCalc.java", "Java", 0, -1, 0, 0, -1, -2
"/home/robert/Java-Catan/Markdowns/AUTHENTIC_CATAN_BOARD_OVERHAUL.md", "Markdown", -111, 0, 0, 0, -31, -142
"/home/robert/Java-Catan/Markdowns/AUTHENTIC_CATAN_LAYOUT_COMPLETE.md", "Markdown", -90, 0, 0, 0, -25, -115
"/home/robert/Java-Catan/Markdowns/BOARD_POSITIONING_FIX.md", "Markdown", -13, 0, 0, 0, -4, -17
"/home/robert/Java-Catan/Markdowns/CATAN_LAYOUT_KORRIGIERT.md", "Markdown", -49, 0, 0, 0, -19, -68
"/home/robert/Java-Catan/Markdowns/CATAN_LAYOUT_VOLLSTÄNDIG_KORRIGIERT.md", "Markdown", -76, 0, 0, 0, -21, -97
"/home/robert/Java-Catan/Markdowns/CLOSER_SPACING_ADJUSTMENT.md", "Markdown", -84, 0, 0, 0, -25, -109
"/home/robert/Java-Catan/Markdowns/COMPACT_LAYOUT_IMPROVEMENTS.md", "Markdown", -93, 0, 0, 0, -27, -120
"/home/robert/Java-Catan/Markdowns/COMPACT_LAYOUT_WITH_FIXED_STREETS.md", "Markdown", -100, 0, 0, 0, -26, -126
"/home/robert/Java-Catan/Markdowns/COMPLETE_IMPLEMENTATION_OVERVIEW.md", "Markdown", -95, 0, 0, 0, -26, -121
"/home/robert/Java-Catan/Markdowns/COORDINATE_FIXES_SUMMARY.md", "Markdown", -72, 0, 0, 0, -20, -92
"/home/robert/Java-Catan/Markdowns/DUPLICATE_SETTLEMENT_ELIMINATION_ULTRA_PRECISION.md", "Markdown", -121, 0, 0, 0, -33, -154
"/home/robert/Java-Catan/Markdowns/ENHANCED_BOARD_COMPLETE.md", "Markdown", -91, 0, 0, 0, -27, -118
"/home/robert/Java-Catan/Markdowns/FINAL_OPTIMIZATION_SUMMARY.md", "Markdown", -88, 0, 0, 0, -26, -114
